Time(s),X-Position (X[2]),Y-Position (X[1]),Input U
1.27000000e+000,1.56055354e-002,1.23435737e-002,8.66907470e-001
1.28000000e+000,1.57284771e-002,1.22938690e-002,8.67727140e-001
1.29000000e+000,1.58509150e-002,1.22426018e-002,8.68539372e-001
1.30000000e+000,1.59728334e-002,1.21897618e-002,8.69344278e-001
1.31000000e+000,1.60942165e-002,1.21353390e-002,8.70141968e-001
1.32000000e+000,1.62150485e-002,1.20793231e-002,8.70932548e-001
1.33000000e+000,1.63353135e-002,1.20217043e-002,8.71716124e-001
1.34000000e+000,1.64549953e-002,1.19624725e-002,8.72492798e-001
1.35000000e+000,1.65740780e-002,1.19016177e-002,8.73262670e-001
1.36000000e+000,1.66925451e-002,1.18391303e-002,8.74025839e-001
1.37000000e+000,1.68103805e-002,1.17750003e-002,8.74782400e-001
1.38000000e+000,1.69275675e-002,1.17092181e-002,8.75532448e-001
1.39000000e+000,1.70440898e-002,1.16417740e-002,8.76276074e-001
1.40000000e+000,1.71599306e-002,1.15726584e-002,8.77013370e-001
1.41000000e+000,1.72750732e-002,1.15018618e-002,8.77744422e-001
1.42000000e+000,1.73895008e-002,1.14293748e-002,8.78469317e-001
1.43000000e+000,1.75031965e-002,1.13551880e-002,8.79188141e-001
1.44000000e+000,1.76161433e-002,1.12792921e-002,8.79900976e-001
1.45000000e+000,1.77283241e-002,1.12016779e-002,8.80607903e-001
1.46000000e+000,1.78397216e-002,1.11223362e-002,8.81309002e-001
1.47000000e+000,1.79503187e-002,1.10412579e-002,8.82004350e-001
1.48000000e+000,1.80600978e-002,1.09584341e-002,8.82694026e-001
1.49000000e+000,1.81690417e-002,1.08738559e-002,8.83378102e-001
1.50000000e+000,1.82771326e-002,1.07875145e-002,8.84056654e-001
1.51000000e+000,1.83843529e-002,1.06994010e-002,8.84729753e-001
1.52000000e+000,1.84906851e-002,1.06095070e-002,8.85397470e-001
1.53000000e+000,1.85961111e-002,1.05178237e-002,8.86059874e-001
1.54000000e+000,1.87006131e-002,1.04243427e-002,8.86717034e-001
1.55000000e+000,1.88041732e-002,1.03290557e-002,8.87369015e-001
1.56000000e+000,1.89067732e-002,1.02319543e-002,8.88015884e-001
1.57000000e+000,1.90083951e-002,1.01330304e-002,8.88657705e-001
1.58000000e+000,1.91090206e-002,1.00322758e-002,8.89294541e-001
1.59000000e+000,1.92086313e-002,9.92968253e-003,8.89926454e-001
1.60000000e+000,1.93072089e-002,9.82524273e-003,8.90553505e-001
1.61000000e+000,1.94047350e-002,9.71894856e-003,8.91175753e-001
1.62000000e+000,1.95011909e-002,9.61079232e-003,8.91793257e-001
1.63000000e+000,1.95965581e-002,9.50076642e-003,8.92406075e-001
1.64000000e+000,1.96908179e-002,9.38886336e-003,8.93014263e-001
1.65000000e+000,1.97839514e-002,9.27507576e-003,8.93617876e-001
1.66000000e+000,1.98759399e-002,9.15939634e-003,8.94216970e-001
1.67000000e+000,1.99667644e-002,9.04181794e-003,8.94811597e-001
1.68000000e+000,2.00564060e-002,8.92233350e-003,8.95401811e-001
1.69000000e+000,2.01448455e-002,8.80093608e-003,8.95987663e-001
1.70000000e+000,2.02320639e-002,8.67761887e-003,8.96569204e-001
1.71000000e+000,2.03180420e-002,8.55237515e-003,8.97146484e-001
1.72000000e+000,2.04027605e-002,8.42519834e-003,8.97719552e-001
1.73000000e+000,2.04862000e-002,8.29608198e-003,8.98288456e-001
1.74000000e+000,2.05683413e-002,8.16501973e-003,8.98853244e-001
1.75000000e+000,2.06491648e-002,8.03200536e-003,8.99413963e-001
1.76000000e+000,2.07286510e-002,7.89703280e-003,8.99970658e-001
1.77000000e+000,2.08067804e-002,7.76009606e-003,9.00523375e-001
1.78000000e+000,2.08835333e-002,7.62118933e-003,9.01072158e-001
1.79000000e+000,2.09588900e-002,7.48030689e-003,9.01617050e-001
1.80000000e+000,2.10328309e-002,7.33744319e-003,9.02158095e-001
1.81000000e+000,2.11053360e-002,7.19259279e-003,9.02695335e-001
1.82000000e+000,2.11763856e-002,7.04575039e-003,9.03228811e-001
1.83000000e+000,2.12459597e-002,6.89691085e-003,9.03758564e-001
1.84000000e+000,2.13140383e-002,6.74606913e-003,9.04284635e-001
1.85000000e+000,2.13806016e-002,6.59322038e-003,9.04807063e-001
1.86000000e+000,2.14456293e-002,6.43835985e-003,9.05325887e-001
1.87000000e+000,2.15091015e-002,6.28148298e-003,9.05841145e-001
1.88000000e+000,2.15709979e-002,6.12258531e-003,9.06352876e-001
1.89000000e+000,2.16312984e-002,5.96166258e-003,9.06861116e-001
1.90000000e+000,2.16899828e-002,5.79871064e-003,9.07365903e-001
1.91000000e+000,2.17470307e-002,5.63372552e-003,9.07867271e-001
1.92000000e+000,2.18024219e-002,5.46670338e-003,9.08365257e-001
1.93000000e+000,2.18561360e-002,5.29764057e-003,9.08859895e-001
1.94000000e+000,2.19081527e-002,5.12653358e-003,9.09351220e-001
1.95000000e+000,2.19584514e-002,4.95337905e-003,9.09839267e-001
1.96000000e+000,2.20070119e-002,4.77817381e-003,9.10324067e-001
1.97000000e+000,2.20538135e-002,4.60091484e-003,9.10805655e-001
1.98000000e+000,2.20988358e-002,4.42159927e-003,9.11284062e-001
1.99000000e+000,2.21420582e-002,4.24022443e-003,9.11759320e-001
2.00000000e+000,2.21834602e-002,4.05678780e-003,9.12231462e-001
2.01000000e+000,2.22230212e-002,3.87128704e-003,9.12700517e-001
2.02000000e+000,2.22607205e-002,3.68371999e-003,9.13166517e-001
2.03000000e+000,2.22965376e-002,3.49408464e-003,9.13629491e-001
2.04000000e+000,2.23304518e-002,3.30237918e-003,9.14089469e-001
